id,scrape_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms, AC - split type ductless system, Air conditioning, Baking sheet, Bathtub, Bed linens, Blender, Board games, Body soap, Books and reading material, Carbon monoxide alarm, Central air conditioning, Central heating, Children\u2019s books and toys, Children\u2019s dinnerware, City skyline view, Cleaning available during stay, Cleaning products, Clothing storage, Clothing storage: closet, Clothing storage: wardrobe, Clothing storage: wardrobe and dresser, Coffee, Coffee maker, Coffee maker: Nespresso, Coffee maker: drip coffee maker, Coffee maker: espresso machine, Conditioner, Cooking basics, Crib, Crib - available upon request, Dedicated workspace, Dining table, Dishes and silverware, Dishwasher, Dryer, Drying rack for clothing, Electric stove, Elevator, Essentials, Ethernet connection, Extra pillows and blankets, Fire extinguisher, First aid kit, Free dryer \u2013 In unit, Free parking on premises, Free street parking, Free washer \u2013 In unit, Freezer, Hair dryer, Hangers, Heating, Heating - split type ductless system, High chair, Host greets you, Hot water, Hot water kettle, Iron, Kitchen, Laundromat nearby, Lockbox, Long term stays allowed, Luggage dropoff allowed, Microwave, Mini fridge, Mosquito net, Nespresso, Outdoor dining area, Outdoor furniture, Oven, Pack \u2019n play/Travel crib, Paid parking garage off premises, Paid parking off premises, Patio or balcony, Pets allowed, Portable fans, Private entrance, Private patio or balcony, Refrigerator, Room-darkening shades, Safe, Self check-in, Shampoo, Shower gel, Single level home, Smoke alarm, Smoking allowed, Stainless steel oven, Stove, TV, Toaster, Washer, Wifi, Window AC unit, Wine glasses,Babysitter recommendations,Coffee,Hair dryer,Keypad,Security cameras on property
10595,20230921043851,2009-09-08,True,8.0,10,True,True,10,5.0,144.0,1,180,1,5,180,180,4.3,180.0,24,54,84,359,42,8,1,True,7,7,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10993,20230921043851,2009-09-08,True,8.0,10,True,True,2,2.0,85.0,1,90,1,2,90,90,1.2,90.0,11,41,52,52,92,5,0,True,7,7,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10995,20230921043851,2009-09-08,True,8.0,10,True,True,4,2.0,60.0,1,45,1,2,45,45,1.2,45.0,18,48,73,73,30,1,0,True,7,7,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
28186,20230921043851,2010-05-09,True,3.0,4,True,True,4,2.0,99.0,2,1125,2,2,1125,1125,2.0,1125.0,23,53,83,352,495,13,2,True,2,2,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33945,20230921043851,2010-06-17,False,2.0,2,True,True,5,2.0,30.0,5,365,5,5,365,365,5.0,365.0,0,2,2,174,72,0,0,False,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
727374,20230921043851,2012-10-04,True,4.0,4,True,True,4,2.0,31.0,3,20,3,3,1125,1125,3.0,1125.0,3,5,27,254,543,52,4,True,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
49489,20230921043851,2010-09-06,False,1.0,3,True,True,7,5.0,180.0,2,365,2,2,365,365,2.0,365.0,14,31,61,329,136,8,1,False,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
60394,20230921043851,2010-11-18,True,1.0,2,True,True,2,3.0,32.0,6,210,6,6,210,210,6.0,210.0,1,6,36,126,30,16,0,False,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
83097,20230921043851,2011-03-20,False,1.0,2,True,False,4,3.0,45.0,4,730,4,4,730,730,4.0,730.0,0,0,0,0,21,0,0,False,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
85539,20230921043851,2011-03-28,False,1.0,1,False,False,4,4.0,75.0,4,730,4,4,730,730,4.0,730.0,0,0,0,0,0,0,0,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
